기기명,시리즈,모델,용량,제품상태,가격
아이폰14프로 256GB,아이폰14,프로,256GB,상,1600000
아이폰12 미니 64GB,아이폰12,미니,64GB,중,380000
아이폰12 프로 256GB,아이폰12,프로,256GB,상,690000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,620000
아이폰13 프로 256GB,아이폰13,프로,256GB,상,1060000
아이폰13 프로 맥스 128GB,아이폰13,프로맥스,128GB,중,1137000
아이폰13 프로 맥스 256GB,아이폰13,프로맥스,256GB,중,1179000
아이폰13 프로 256GB,아이폰13,프로,256GB,상,1106000
아이폰11프로 256GB,아이폰11,프로,256GB,중,480000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,380000
아이폰12 미니 128GB,아이폰12,미니,128GB,상,395000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,330000
아이폰13 프로 256GB,아이폰13,프로,256GB,중,990000
아이폰13 프로 256GB,아이폰13,프로,256GB,중,979000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,348000
아이폰12 프로 맥스 256GB,아이폰12,프로맥스,256GB,중,768000
아이폰8 256GB,아이폰8,기본,256GB,상,250000
아이폰8 256GB,아이폰8,기본,256GB,상,250000
아이폰8 256GB,아이폰8,기본,256GB,상,250000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,610000
아이폰Xs 64GB,아이폰xs,기본,64GB,상,345000
아이폰Xs 64GB,아이폰xs,기본,64GB,상,345000
아이폰Xs 64GB,아이폰xs,기본,64GB,상,345000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,347000
아이폰Xs 맥스 256GB,아이폰xs,맥스,256GB,상,510000
아이폰12 64GB,아이폰12,기본,64GB,상,520000
아이폰12 128GB,아이폰12,기본,128GB,상,620000
아이폰12 128GB,아이폰12,기본,128GB,상,620000
아이폰12 64GB,아이폰12,기본,64GB,상,520000
아이폰12 64GB,아이폰12,기본,64GB,상,520000
아이폰12 128GB,아이폰12,기본,128GB,상,620000
아이폰8플러스 64GB,아이폰8,플러스,64GB,상,310000
아이폰8플러스 64GB,아이폰8,플러스,64GB,상,310000
아이폰8플러스 64GB,아이폰8,플러스,64GB,상,310000
아이폰12 프로 256GB,아이폰12,프로,256GB,중,653000
아이폰6s 128GB,아이폰6,기본,128GB,상,140000
아이폰XR 64GB,아이폰xr,기본,64GB,중,242000
아이폰6s 플러스 64GB,아이폰6s,플러스,64GB,상,170000
아이폰6 64GB,아이폰6,기본,64GB,상,105000
아이폰7플러스 128GB,아이폰7,플러스,128GB,상,270000
아이폰7플러스 128GB,아이폰7,플러스,128GB,상,270000
아이폰8플러스 256GB,아이폰8,플러스,256GB,상,360000
아이폰8플러스 256GB,아이폰8,플러스,256GB,상,360000
아이폰7플러스 128GB,아이폰7,플러스,128GB,상,270000
아이폰7 128GB,아이폰7,기본,128GB,상,170000
아이폰7 128GB,아이폰7,기본,128GB,상,170000
아이폰7 128GB,아이폰7,기본,128GB,상,170000
아이폰11 64GB,아이폰11,기본,64GB,상,440000
아이폰11 64GB,아이폰11,기본,64GB,상,440000
아이폰11 64GB,아이폰11,기본,64GB,상,440000
아이폰11 128GB,아이폰11,기본,128GB,상,490000
아이폰11 128GB,아이폰11,기본,128GB,상,490000
아이폰11 128GB,아이폰11,기본,128GB,상,490000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,313000
아이폰11프로 256GB,아이폰11,프로,256GB,중,453000
아이폰12 미니 128GB,아이폰12,미니,128GB,중,333000
아이폰13 프로 128GB,아이폰13,프로,128GB,상,930000
아이폰13 미니 128GB,아이폰13,미니,128GB,상,580000
아이폰12 128GB,아이폰12,기본,128GB,상,487000
